mu	x_P	x_E	y_E	t_c
1.1	1.05	0.24319659829914958	0.6373186593296648	1.322762905741165
1.1	1.05	0.24267133566783392	0.6373186593296648	1.3426322640034098
1.1	1.05	0.24214607303651825	0.6368184092046023	1.2807214481328977
1.1	1.05	0.24162081040520259	0.6368184092046023	1.2904392229070079
1.1	1.05	0.24109554777388695	0.6368184092046023	1.3012053671129873
1.1	1.05	0.24057028514257128	0.6368184092046023	1.3134908046562885
1.1	1.05	0.24004502251125562	0.6368184092046023	1.3282751207114218
1.1	1.05	0.23951975987993995	0.6368184092046023	1.3485000256023731
1.1	1.05	0.23899449724862432	0.6363181590795397	1.2852901925847728
1.1	1.05	0.23846923461730865	0.6363181590795397	1.2948864044531783
1.1	1.05	0.23794397198599299	0.6363181590795397	1.3055091733872082
